USAF,WBAN,StationName,State,Latitude,Longitude,MeanTemp,MinTemp,MaxTemp,DewPoint,Percipitation,WindSpeed,MaxSustainedWind,Gust,Rain,SnowDepth,SnowIce,Year,Month,Day,Borough
997280,99999,KINGS POINT,NY,40.8,-73.77,37.1,34.9,39.6,,0.0,13.2,19.0,,0,,0,2010,12,4,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,34.3,32.2,37.0,,0.0,11.8,19.0,,0,,0,2010,12,5,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,34.1,32.0,35.4,,0.0,16.1,21.0,,0,,0,2010,12,6,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,33.7,32.4,36.5,,0.0,16.0,20.0,,0,,0,2010,12,7,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,32.6,29.8,35.2,,0.0,14.1,19.0,,0,,0,2010,12,8,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,28.7,25.3,31.5,,0.0,11.5,15.9,,0,,0,2010,12,9,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,30.1,27.5,35.1,,0.0,,,,0,,0,2010,2,1,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,32.4,29.7,37.8,,0.0,7.9,15.0,,0,,0,2010,2,10,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,32.3,29.7,36.3,,0.0,15.0,27.0,,0,,0,2010,2,11,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,31.5,28.2,36.7,,0.0,9.4,14.0,,0,,0,2010,2,12,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,29.5,25.5,35.2,,0.0,8.7,12.0,,0,,0,2010,2,13,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,31.8,28.9,38.3,,0.0,12.9,16.9,,0,,0,2010,2,14,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,33.9,29.5,38.5,,0.0,11.7,15.9,,0,,0,2010,2,15,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,32.3,31.3,37.6,,0.0,6.2,12.0,,0,,0,2010,2,16,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,31.7,29.5,34.7,,0.0,12.7,16.9,,0,,0,2010,2,17,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,35.4,32.5,39.6,,0.0,12.5,18.1,,0,,0,2010,2,18,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,37.9,35.1,41.5,,0.0,14.4,19.0,,0,,0,2010,2,19,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,31.3,28.4,34.5,,0.0,,,,0,,0,2010,2,2,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,38.6,36.0,42.8,,0.0,9.4,15.9,,0,,0,2010,2,20,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,38.8,35.1,43.2,,0.0,8.6,15.9,,0,,0,2010,2,21,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,35.6,29.8,41.4,,0.0,5.0,9.9,,0,,0,2010,2,22,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,36.5,34.7,40.3,,0.0,4.9,8.9,,0,,0,2010,2,23,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,37.7,36.3,38.8,,0.0,7.7,11.1,,0,,0,2010,2,24,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,35.6,33.3,38.1,,0.0,4.6,12.0,,0,,0,2010,2,25,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,29.8,26.8,34.2,,0.0,13.3,22.0,,0,,0,2010,2,26,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,33.6,30.6,37.8,,0.0,6.5,9.9,,0,,0,2010,2,27,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,35.7,33.1,37.0,,0.0,4.5,8.9,,0,,0,2010,2,28,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,31.0,27.9,36.7,,0.0,,,,0,,0,2010,2,3,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,32.9,29.1,36.5,,0.0,,,,0,,0,2010,2,4,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,33.0,30.6,35.6,,0.0,,,,0,,0,2010,2,5,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,29.3,25.0,34.2,,0.0,,,,0,,0,2010,2,6,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,24.7,18.9,33.6,,0.0,11.9,15.0,,0,,0,2010,2,7,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,28.2,24.4,36.7,,0.0,10.8,15.9,,0,,0,2010,2,8,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,33.4,29.8,41.5,,0.0,7.1,15.9,,0,,0,2010,2,9,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,44.4,43.2,45.3,,0.0,13.8,18.1,,0,,0,2010,3,1,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,44.0,37.2,52.2,,0.0,,,,0,,0,2010,3,10,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,43.2,41.2,46.8,,0.0,,,,0,,0,2010,3,11,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,42.2,41.2,44.1,,0.0,,,,0,,0,2010,3,12,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,41.2,38.3,44.1,,0.0,,,,0,,0,2010,3,13,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,45.7,43.0,48.6,,0.0,9.3,16.9,,0,,0,2010,3,14,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,43.3,41.7,44.6,,0.0,9.4,13.0,,0,,0,2010,3,15,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,47.5,41.4,59.2,,0.0,6.6,9.9,,0,,0,2010,3,16,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,49.8,37.9,63.9,,0.0,3.7,9.9,,0,,0,2010,3,17,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,53.9,47.8,63.1,,0.0,3.7,11.1,,0,,0,2010,3,18,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,53.2,42.3,67.5,,0.0,4.5,15.0,,0,,0,2010,3,19,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,39.9,35.4,44.6,,0.0,4.8,14.0,,0,,0,2010,3,2,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,58.5,53.1,66.4,,0.0,5.3,14.0,,0,,0,2010,3,20,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,53.2,46.6,59.0,,0.0,4.7,8.9,,0,,0,2010,3,21,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,48.6,44.8,57.9,,0.0,2.4,5.1,,0,,0,2010,3,22,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,50.8,46.8,57.9,,0.0,6.5,15.9,,0,,0,2010,3,23,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,48.4,43.3,57.2,,0.0,14.7,22.0,,0,,0,2010,3,24,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,51.6,47.3,56.7,,0.0,6.6,16.9,,0,,0,2010,3,25,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,44.7,38.8,51.8,,0.0,10.7,15.9,,0,,0,2010,3,26,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,35.2,29.3,40.8,,0.0,8.9,13.0,,0,,0,2010,3,27,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,39.8,34.5,47.5,,0.0,6.2,9.9,,0,,0,2010,3,28,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,49.8,46.9,51.4,,0.0,9.5,22.0,,0,,0,2010,3,29,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,37.4,34.0,41.0,,0.0,7.2,13.0,,0,,0,2010,3,3,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,45.8,43.2,51.1,,0.0,10.5,15.0,,0,,0,2010,3,30,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,47.7,44.4,52.7,,0.0,11.2,15.9,,0,,0,2010,3,31,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,39.1,36.3,43.7,,0.0,10.9,15.9,,0,,0,2010,3,4,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,38.4,34.5,42.6,,0.0,9.6,14.0,,0,,0,2010,3,5,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,39.5,32.7,49.1,,0.0,8.4,12.0,,0,,0,2010,3,6,BRONX
